Site_type,a,b
Subproperty,40.89084899,-73.86422392
Subproperty,40.84889079,-73.87712839
Outdoor,40.85557,-73.887565
Outdoor ,40.871864,-73.805549
Subproperty,40.851889,-73.868549
Outdoor,40.861526,-73.880659
Outdoor,40.860755,-73.880423
Outdoor,40.859644,-73.880472
Outdoor,40.862602,-73.880171
Outdoor,40.826939,-73.922314
Outdoor,40.826627,-73.922447
Outdoor ,40.854322,-73.869764
Outdoor ,40.854445,-73.869863
Outdoor,40.84976,-73.880055
Outdoor,40.850017,-73.880035
Greenthumb,40.819933,-73.887069
Outdoor ,40.871706,-73.872741
Outdoor,40.911295,-73.907652
Outdoor,40.911236,-73.90791
Outdoor ,40.825217,-73.88546
Outdoor ,40.840115,-73.895513
Outdoor ,40.835226,-73.895652
Outdoor ,40.84133,-73.892702
Outdoor ,40.840876,-73.898206
Outdoor ,40.838351,-73.893566
Outdoor ,40.841123,-73.898056
Outdoor,40.83377,-73.877453
Outdoor,40.841444,-73.888487
Outdoor,40.875553,-73.860526
Outdoor,40.833109,-73.828285
Outdoor,40.85042,-73.915529
Outdoor ,40.849292,-73.902175
Greenthumb,40.822893,-73.91266
Greenthumb,40.813663,-73.905898
Greenthumb,40.82201,-73.914009
Outdoor ,40.862402,-73.897174
Outdoor ,40.861379,-73.881414
Outdoor,40.861267,-73.89014
Outdoor,40.861948,-73.893726
Subproperty,40.869996,-73.876238
Greenthumb,40.847026,-73.882534
Outdoor ,40.816171,-73.917594
Outdoor ,40.814213,-73.885886
Indoor,40.814213,-73.885886
Outdoor ,40.817471,-73.882622
Greenthumb,40.81484,-73.90691
Greenthumb,40.858005,-73.90485
Outdoor ,40.829632,-73.921933
Outdoor ,40.827502,-73.923062
Indoor,40.877667,-73.90062
Greenthumb,40.835694,-73.925664
Greenthumb,40.82297053,-73.91288322
Outdoor ,40.8229924,-73.93189254
Outdoor ,40.834258,-73.923392
Outdoor ,40.831466,-73.923947
Outdoor ,40.84155572,-73.87752267
Greenthumb,40.822711,-73.890242
Subproperty,40.889428,-73.864356
Outdoor ,40.836706,-73.872355
Outdoor ,40.90208,-73.868519
Subproperty,40.884079,-73.866996
Outdoor ,40.866292,-73.794774
Outdoor ,40.867984,-73.793396
Outdoor ,40.868802,-73.792261
Outdoor ,40.869068,-73.792558
Outdoor ,40.872275,-73.797323
Outdoor ,40.840504,-73.842668
Outdoor,40.840626,-73.843231
Outdoor ,40.82366,-73.850766
Outdoor ,40.838797,-73.845791
Outdoor ,40.851723,-73.824697
Outdoor ,40.849069,-73.822954
Outdoor ,40.850274,-73.88992
Greenthumb,40.841884,-73.876389
Outdoor ,40.842795,-73.877694
Outdoor,40.903281,-73.903612
Outdoor ,40.861953,-73.890736
Subproperty,40.873199,-73.87052
Subproperty,40.883881,-73.881691
Outdoor ,40.888353,-73.840908
Outdoor ,40.885219,-73.840474
Outdoor ,40.865657,-73.850613
Outdoor,40.906878,-73.904143
Outdoor ,40.819113,-73.878003
Outdoor ,40.819274,-73.870418
Outdoor ,40.817335,-73.870322
Outdoor ,40.816505,-73.872564
Outdoor,40.835694,-73.888776
Subproperty,40.886538,-73.898453
Outdoor ,40.887313,-73.916308
Indoor,40.865469,-73.898571
Indoor,40.864779,-73.899257
Indoor,40.866089,-73.896967
Indoor,40.811712,-73.914339
Indoor,40.811588,-73.914342
Greenthumb,40.80531601,-73.91533212
Subproperty,40.887317,-73.899006
Subproperty,40.888933,-73.898324
Subproperty,40.888224,-73.896655
Outdoor ,40.890172,-73.896375
Subproperty,40.888255,-73.897777
Subproperty,40.889096,-73.892278
Outdoor ,40.833505,-73.86232
Greenthumb,40.82057088,-73.91403138
Subproperty,40.860641,-73.871488
Outdoor ,40.828933,-73.869326
Indoor,40.844147,-73.918886
Subproperty,40.895803,-73.87943
Greenthumb,40.677973,-73.928171
Outdoor ,40.57519,-73.971342
Outdoor ,40.575239,-73.971889
Outdoor ,40.629573,-74.022532
Outdoor ,40.596833,-73.9994
Outdoor ,40.68463,-73.990234
Outdoor ,40.696536,-73.990675
Outdoor ,40.673811,-73.943717
Indoor,40.656762,-73.90247
Outdoor ,40.722315,-73.961527
Outdoor ,40.695873,-73.990218
Outdoor ,40.697327,-73.990337
Outdoor ,40.681307,-73.995212
Outdoor ,40.680946,-73.995481
Outdoor ,40.679442,-73.876233
Outdoor ,40.68829,-73.996136
Outdoor ,40.694143,-73.989791
Outdoor ,40.697793,-73.978653
Outdoor ,40.685861,-73.972638
Outdoor ,40.610033,-73.96952
Outdoor ,40.702573,-73.989752
Outdoor ,40.702631,-73.990641
Outdoor ,40.70238,-73.986553
Outdoor ,40.65021,-73.958798
Outdoor ,40.68293,-73.964596
